gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season,,,
20120905_DAL@NYG,2,40,30,NYG,DAL,1,1,1,RUN,0,0,2012,,,
20120905_DAL@NYG,2,40,5,NYG,DAL,2,3,3,RUN,0,0,2012,,,
20120905_DAL@NYG,2,39,23,NYG,DAL,3,4,4,PASS,0,0,2012,,,
20120905_DAL@NYG,2,39,14,NYG,DAL,4,4,4,FIELD GOAL,0,0,2012,,,
20120905_DAL@NYG,3,16,33,DAL,NYG,2,6,6,PASS,14,10,2012,,,
20120905_DAL@NYG,4,2,42,NYG,DAL,1,9,9,PASS,10,24,2012,,,
20120905_DAL@NYG,3,20,19,NYG,DAL,1,10,10,RUN,3,14,2012,,,
20120905_DAL@NYG,3,17,20,DAL,NYG,1,10,10,RUN,14,10,2012,,,
20120905_DAL@NYG,2,31,7,DAL,NYG,2,5,10,PASS,0,3,2012,,,
20120905_DAL@NYG,4,3,5,NYG,DAL,4,1,13,RUN,10,24,2012,,,
20120905_DAL@NYG,4,7,8,DAL,NYG,1,10,14,PENALTY,17,10,2012,,,
20120905_DAL@NYG,2,31,15,DAL,NYG,1,10,15,PASS,0,3,2012,,,
20120905_DAL@NYG,3,15,53,DAL,NYG,3,15,15,PASS,14,10,2012,,,
20120905_DAL@NYG,3,15,45,DAL,NYG,4,15,15,FIELD GOAL,14,10,2012,,,
20120905_DAL@NYG,4,3,27,NYG,DAL,3,6,18,PASS,10,24,2012,,,
20120905_DAL@NYG,3,17,53,DAL,NYG,2,4,19,RUN,14,10,2012,,,
20120905_DAL@NYG,4,3,56,NYG,DAL,1,10,22,PASS,10,24,2012,,,
20120905_DAL@NYG,4,3,51,NYG,DAL,2,10,22,PASS,10,24,2012,,,
20120905_DAL@NYG,4,6,39,DAL,NYG,1,20,24,PASS,17,10,2012,,,
20120905_DAL@NYG,4,8,4,DAL,NYG,2,5,24,PENALTY,17,10,2012,,,
20120905_DAL@NYG,3,18,42,DAL,NYG,1,10,25,PASS,14,10,2012,,,
20120905_DAL@NYG,4,9,8,DAL,NYG,1,10,29,PENALTY,17,10,2012,,,
20120905_DAL@NYG,1,51,43,NYG,DAL,2,8,29,RUN,0,0,2012,,,
20120905_DAL@NYG,4,7,48,DAL,NYG,2,10,29,RUN,17,10,2012,,,
20120905_DAL@NYG,4,4,3,NYG,DAL,4,2,29,PASS,10,24,2012,,,
20120905_DAL@NYG,1,52,25,NYG,DAL,1,10,31,RUN,0,0,2012,,,
20120905_DAL@NYG,4,8,45,DAL,NYG,1,15,34,PASS,17,10,2012,,,
20120905_DAL@NYG,4,6,12,DAL,NYG,1,30,34,PASS,17,10,2012,,,
20120905_DAL@NYG,4,9,33,DAL,NYG,2,1,34,PENALTY,17,10,2012,,,
20120905_DAL@NYG,4,4,44,NYG,DAL,1,10,37,PASS,10,24,2012,,,
20120905_DAL@NYG,4,4,38,NYG,DAL,2,10,37,PASS,10,24,2012,,,
20120905_DAL@NYG,4,4,30,NYG,DAL,3,10,37,PASS,10,24,2012,,,
20120905_DAL@NYG,1,47,46,DAL,NYG,4,1,37,RUN,0,0,2012,,,
20120905_DAL@NYG,1,52,53,NYG,DAL,2,7,39,PASS,0,0,2012,,,
20120905_DAL@NYG,3,25,42,DAL,NYG,1,10,40,PASS,7,3,2012,,,
20120905_DAL@NYG,3,25,32,DAL,NYG,2,10,40,PASS,7,3,2012,,,
20120905_DAL@NYG,2,45,0,NYG,DAL,1,10,41,PASS,0,0,2012,,,
20120905_DAL@NYG,1,53,29,NYG,DAL,1,10,42,RUN,0,0,2012,,,
20120905_DAL@NYG,4,10,11,DAL,NYG,1,10,43,RUN,17,10,2012,,,
20120905_DAL@NYG,1,45,21,NYG,DAL,3,2,45,PASS,0,0,2012,,,
20120905_DAL@NYG,2,43,46,NYG,DAL,3,14,45,PASS,0,0,2012,,,
20120905_DAL@NYG,2,43,36,NYG,DAL,4,14,45,PUNT,0,0,2012,,,
20120905_DAL@NYG,1,49,26,DAL,NYG,1,10,46,PENALTY,0,0,2012,,,
20120905_DAL@NYG,1,48,22,DAL,NYG,2,10,46,PASS,0,0,2012,,,
20120905_DAL@NYG,1,48,13,DAL,NYG,3,10,46,PASS,0,0,2012,,,
20120905_DAL@NYG,1,54,36,NYG,DAL,2,1,47,PENALTY,0,0,2012,,,
20120905_DAL@NYG,3,21,9,NYG,DAL,3,4,49,PASS,3,14,2012,,,
20120905_DAL@NYG,1,45,58,NYG,DAL,2,7,50,RUN,0,0,2012,,,
20120905_DAL@NYG,3,21,48,NYG,DAL,2,5,50,PASS,3,14,2012,,,
20120905_DAL@NYG,1,49,9,DAL,NYG,1,15,51,RUN,0,0,2012,,,
20120905_DAL@NYG,1,54,12,NYG,DAL,2,6,52,PASS,0,0,2012,,,
20120905_DAL@NYG,1,46,35,NYG,DAL,1,10,53,RUN,0,0,2012,,,
20120905_DAL@NYG,2,32,4,DAL,NYG,2,1,53,PASS,0,3,2012,,,
20120905_DAL@NYG,2,31,59,DAL,NYG,3,1,53,PASS,0,3,2012,,,
20120905_DAL@NYG,3,22,20,NYG,DAL,1,10,55,RUN,3,14,2012,,,
20120905_DAL@NYG,2,41,10,DAL,NYG,3,3,55,PENALTY,0,0,2012,,,
20120905_DAL@NYG,1,55,20,NYG,DAL,1,10,56,PASS,0,0,2012,,,
20120905_DAL@NYG,3,26,27,DAL,NYG,1,10,56,PASS,7,3,2012,,,
20120905_DAL@NYG,2,44,30,NYG,DAL,2,25,56,PASS,0,0,2012,,,
20120905_DAL@NYG,3,26,20,DAL,NYG,2,10,56,PASS,7,3,2012,,,
